YearStart,LocationAbbr,LocationDesc,p_adj_pct,lcl95_pct,ucl95_pct,n_age_groups
2011,AK,Alaska,38.486932447397564,36.460322017175955,40.51354287761917,5
2011,AK,Alaska,26.848504983388704,25.043098019960397,28.65391194681701,5
2011,AK,Alaska,57.79291251384275,55.696222825140765,59.889602202544744,5
2011,AK,Alaska,25.903654485049838,23.9892114573788,27.818097512720875,5
2011,AK,Alaska,36.02015503875969,33.98478628402417,38.055523793495205,5
2011,AK,Alaska,35.615725359911416,33.59467917027653,37.636771549546296,5
2011,AK,Alaska,20.921926910299007,19.275921924526013,22.567931896072004,5
2011,AL,Alabama,33.17009966777408,31.61200792187739,34.72819141367078,5
2011,AL,Alabama,32.611517165005544,31.105472837239862,34.11756149277122,5
2011,AL,Alabama,42.45769656699889,40.795405177523804,44.119987956473985,5
2011,AL,Alabama,16.655813953488373,15.345270965839958,17.96635694113679,5
2011,AL,Alabama,22.8514950166113,21.435696166670766,24.26729386655183,5
2011,AL,Alabama,27.41915836101883,25.90780510363245,28.93051161840521,5
2011,AL,Alabama,30.148504983388708,28.67992615906899,31.617083807708426,5
2011,AR,Arkansas,32.345957918050935,30.08905020535593,34.602865630745946,5
2011,AR,Arkansas,31.549280177187157,29.335406113109407,33.7631542412649,5
2011,AR,Arkansas,46.56722037652271,44.07209951796076,49.06234123508466,5
2011,AR,Arkansas,18.60077519379845,16.500074698437366,20.701475689159537,5
2011,AR,Arkansas,27.223034330011075,24.924568713041655,29.521499946980494,5
2011,AR,Arkansas,27.418826135105206,25.10854121112322,29.72911105908719,5
2011,AR,Arkansas,27.409856035437436,25.363586917672215,29.456125153202656,5
2011,AZ,Arizona,36.95071982281285,35.01459155879162,38.88684808683408,5
2011,AZ,Arizona,25.26179401993356,23.618770938125614,26.904817101741507,5
2011,AZ,Arizona,51.225027685492805,49.27094966187889,53.179105709106736,5
2011,AZ,Arizona,25.445071982281288,23.707671230950975,27.182472733611597,5
2011,AZ,Arizona,30.086267995570324,28.309425904222508,31.863110086918145,5
2011,AZ,Arizona,35.062901439645636,33.18350507524937,36.94229780404189,5
2011,AZ,Arizona,23.314064230343305,21.6976652095776,24.930463251109007,5
2011,CA,California,35.77718715393134,34.81874683295332,36.73562747490936,5
2011,CA,California,23.918936877076415,23.08500687795427,24.752866876198564,5
2011,CA,California,56.90243632336656,55.89135806029661,57.9135145864365,5
2011,CA,California,24.561129568106317,23.659994273249218,25.462264862963412,5
2011,CA,California,33.793909191583616,32.828536040198834,34.7592823429684,5
2011,CA,California,33.862901439645626,32.88459905363903,34.84120382565222,5
2011,CA,California,18.166998892580295,17.399467162740383,18.934530622420205,5
2011,CO,Colorado,34.051827242524915,32.85866294173033,35.2449915433195,5
2011,CO,Colorado,20.168327796234774,19.19583911038637,21.140816482083174,5
2011,CO,Colorado,61.37408637873754,60.10672563966632,62.641447117808745,5
2011,CO,Colorado,28.489368770764116,27.2739114339286,29.704826107599636,5
2011,CO,Colorado,39.08947951273533,37.80659461754469,40.37236440792598,5
2011,CO,Colorado,37.56921373200443,36.29723249706048,38.841194966948386,5
2011,CO,Colorado,15.138316722037654,14.245633760022722,16.030999684052585,5
2011,CT,Connecticut,32.99756367663345,31.40762687008738,34.58750048317951,5
2011,CT,Connecticut,23.995127353266888,22.557945431588337,25.432309274945442,5
2011,CT,Connecticut,52.762458471760795,51.01366518066207,54.51125176285952,5
2011,CT,Connecticut,23.7468438538206,22.19959677283271,25.294090934808487,5
2011,CT,Connecticut,31.425692137320045,29.794592832271462,33.05679144236863,5
2011,CT,Connecticut,33.462236987818386,31.78534189756404,35.13913207807273,5
2011,CT,Connecticut,23.086489479512736,21.65281990084557,24.520159058179903,5
2011,DC,District of Columbia,28.252491694352162,26.23777583844802,30.267207550256302,5
2011,DC,District of Columbia,23.08815060908084,21.402934669482068,24.77336654867962,5
2011,DC,District of Columbia,58.34186046511628,56.086350591511724,60.597370338720836,5
2011,DC,District of Columbia,27.39291251384274,25.194805647578516,29.59101938010697,5
2011,DC,District of Columbia,34.15348837209303,31.878925940470577,36.42805080371548,5
2011,DC,District of Columbia,37.977076411960134,35.697072442610555,40.25708038130972,5
2011,DC,District of Columbia,17.715393133997786,16.147808975283816,19.282977292711756,5
2011,DE,Delaware,33.55083056478406,31.67758169899109,35.424079430577024,5
2011,DE,Delaware,27.986267995570323,26.262137002974782,29.710398988165863,5
2011,DE,Delaware,49.50442967884829,47.48239918145756,51.52646017623902,5
2011,DE,Delaware,23.369102990033223,21.582493128202646,25.155712851863804,5
2011,DE,Delaware,27.669213732004433,25.8040623781766,29.534365085832263,5
2011,DE,Delaware,34.99147286821706,33.07066028216437,36.91228545426975,5
2011,DE,Delaware,24.496345514950168,22.855776845903726,26.136914183996613,5
2011,FL,Florida,35.14440753045404,33.81361339724982,36.47520166365827,5
2011,FL,Florida,26.56976744186047,25.42597172590525,27.713563157815692,5
2011,FL,Florida,52.518161683277974,51.10991543514316,53.92640793141279,5
2011,FL,Florida,23.446733111849397,22.20633346801867,24.687132755680125,5
2011,FL,Florida,31.22724252491695,29.910082896547703,32.54440215328619,5
2011,FL,Florida,32.12558139534883,30.79415784235686,33.45700494834081,5
2011,FL,Florida,24.476301218161687,23.327773460680255,25.624828975643116,5
2011,GA,Georgia,33.63765227021042,32.23783431955196,35.037470220868876,5
2011,GA,Georgia,27.760465116279075,26.470205735892133,29.05072449666602,5
2011,GA,Georgia,51.11672203765227,49.57885499816588,52.65458907713866,5
2011,GA,Georgia,22.416832779623476,21.072872900767393,23.76079265847956,5
